DIRECTION,STUDY_DATE,VOLUME
W,01/01/2023 07:45:00 PM,190
E,01/01/2023 07:45:00 PM,193
W,01/01/2023 08:00:00 PM,227
E,01/01/2023 08:00:00 PM,195
W,01/01/2023 08:15:00 PM,188
E,01/01/2023 08:15:00 PM,184
W,01/01/2023 08:30:00 PM,169
E,01/01/2023 08:30:00 PM,151
W,01/01/2023 08:45:00 PM,164
E,01/01/2023 08:45:00 PM,162
W,01/01/2023 09:00:00 PM,170
E,01/01/2023 09:00:00 PM,147
W,01/01/2023 09:15:00 PM,138
E,01/01/2023 09:15:00 PM,152
W,01/01/2023 09:30:00 PM,145
E,01/01/2023 09:30:00 PM,157
W,01/01/2023 09:45:00 PM,149
E,01/01/2023 09:45:00 PM,146
W,01/01/2023 10:00:00 PM,112
E,01/01/2023 10:00:00 PM,110
W,01/01/2023 10:15:00 PM,101
E,01/01/2023 10:15:00 PM,104
W,01/01/2023 10:30:00 PM,89
E,01/01/2023 10:30:00 PM,81
W,01/01/2023 10:45:00 PM,81
E,01/01/2023 10:45:00 PM,92
W,01/01/2023 11:00:00 PM,92
E,01/01/2023 11:00:00 PM,84
W,01/01/2023 11:15:00 PM,96
E,01/01/2023 11:15:00 PM,60
W,01/01/2023 11:30:00 PM,75
E,01/01/2023 11:30:00 PM,65
W,01/01/2023 11:45:00 PM,65
E,01/01/2023 11:45:00 PM,67
W,01/02/2023 12:00:00 AM,51
E,01/02/2023 12:00:00 AM,49
W,01/02/2023 12:15:00 AM,51
E,01/02/2023 12:15:00 AM,48
W,01/02/2023 12:30:00 AM,36
E,01/02/2023 12:30:00 AM,50
W,01/02/2023 12:45:00 AM,36
E,01/02/2023 12:45:00 AM,22
W,01/02/2023 01:00:00 AM,30
E,01/02/2023 01:00:00 AM,44
W,01/02/2023 01:15:00 AM,40
E,01/02/2023 01:15:00 AM,20
W,01/02/2023 01:30:00 AM,13
E,01/02/2023 01:30:00 AM,20
W,01/02/2023 01:45:00 AM,23
E,01/02/2023 01:45:00 AM,21
W,01/02/2023 02:00:00 AM,18
E,01/02/2023 02:00:00 AM,16
W,01/02/2023 02:15:00 AM,20
E,01/02/2023 02:15:00 AM,21
W,01/02/2023 02:30:00 AM,21
E,01/02/2023 02:30:00 AM,22
W,01/02/2023 02:45:00 AM,6
E,01/02/2023 02:45:00 AM,27
W,01/02/2023 03:00:00 AM,16
E,01/02/2023 03:00:00 AM,31
W,01/02/2023 03:15:00 AM,22
E,01/02/2023 03:15:00 AM,22
W,01/02/2023 03:30:00 AM,17
E,01/02/2023 03:30:00 AM,30
W,01/02/2023 03:45:00 AM,12
E,01/02/2023 03:45:00 AM,22
W,01/02/2023 04:00:00 AM,10
E,01/02/2023 04:00:00 AM,16
W,01/02/2023 04:15:00 AM,12
E,01/02/2023 04:15:00 AM,30
W,01/02/2023 04:30:00 AM,20
E,01/02/2023 04:30:00 AM,30
W,01/02/2023 04:45:00 AM,21
E,01/02/2023 04:45:00 AM,45
W,01/02/2023 05:00:00 AM,27
E,01/02/2023 05:00:00 AM,47
W,01/02/2023 05:15:00 AM,25
E,01/02/2023 05:15:00 AM,59
W,01/02/2023 05:30:00 AM,51
E,01/02/2023 05:30:00 AM,94
W,01/02/2023 05:45:00 AM,49
E,01/02/2023 05:45:00 AM,61
W,01/02/2023 06:00:00 AM,42
E,01/02/2023 06:00:00 AM,72
W,01/02/2023 06:15:00 AM,80
E,01/02/2023 06:15:00 AM,129
W,01/02/2023 06:30:00 AM,111
E,01/02/2023 06:30:00 AM,182
W,01/02/2023 06:45:00 AM,131
E,01/02/2023 06:45:00 AM,180
W,01/02/2023 07:00:00 AM,114
E,01/02/2023 07:00:00 AM,134
W,01/02/2023 07:15:00 AM,120
E,01/02/2023 07:15:00 AM,186
W,01/02/2023 07:30:00 AM,155
E,01/02/2023 07:30:00 AM,211
W,01/02/2023 07:45:00 AM,190
E,01/02/2023 07:45:00 AM,191
W,01/02/2023 08:00:00 AM,157
E,01/02/2023 08:00:00 AM,172
W,01/02/2023 08:15:00 AM,161
E,01/02/2023 08:15:00 AM,176
W,01/02/2023 08:30:00 AM,209
E,01/02/2023 08:30:00 AM,257
W,01/02/2023 08:45:00 AM,207
E,01/02/2023 08:45:00 AM,217
W,01/02/2023 09:00:00 AM,231
E,01/02/2023 09:00:00 AM,238
W,01/02/2023 09:15:00 AM,234
E,01/02/2023 09:15:00 AM,266
W,01/02/2023 09:30:00 AM,239
E,01/02/2023 09:30:00 AM,317
W,01/02/2023 09:45:00 AM,292
E,01/02/2023 09:45:00 AM,367
W,01/02/2023 10:00:00 AM,277
E,01/02/2023 10:00:00 AM,349
W,01/02/2023 10:15:00 AM,322
E,01/02/2023 10:15:00 AM,386
W,01/02/2023 10:30:00 AM,316
E,01/02/2023 10:30:00 AM,381
W,01/02/2023 10:45:00 AM,360
E,01/02/2023 10:45:00 AM,435
W,01/02/2023 11:00:00 AM,363
E,01/02/2023 11:00:00 AM,430
W,01/02/2023 11:15:00 AM,414
E,01/02/2023 11:15:00 AM,451
W,01/02/2023 11:30:00 AM,394
E,01/02/2023 11:30:00 AM,535
W,01/02/2023 11:45:00 AM,428
E,01/02/2023 11:45:00 AM,537
W,01/02/2023 12:00:00 PM,464
E,01/02/2023 12:00:00 PM,485
W,01/02/2023 12:15:00 PM,490
E,01/02/2023 12:15:00 PM,447
W,01/02/2023 12:30:00 PM,481
E,01/02/2023 12:30:00 PM,522
W,01/02/2023 12:45:00 PM,486
E,01/02/2023 12:45:00 PM,562
W,01/02/2023 01:00:00 PM,514
E,01/02/2023 01:00:00 PM,517
W,01/02/2023 01:15:00 PM,520
E,01/02/2023 01:15:00 PM,545
W,01/02/2023 01:30:00 PM,519
E,01/02/2023 01:30:00 PM,483
W,01/02/2023 01:45:00 PM,535
E,01/02/2023 01:45:00 PM,503
W,01/02/2023 02:00:00 PM,543
E,01/02/2023 02:00:00 PM,531
W,01/02/2023 02:15:00 PM,560
E,01/02/2023 02:15:00 PM,501
W,01/02/2023 02:30:00 PM,553
E,01/02/2023 02:30:00 PM,544
W,01/02/2023 02:45:00 PM,580
E,01/02/2023 02:45:00 PM,539
W,01/02/2023 03:00:00 PM,575
E,01/02/2023 03:00:00 PM,512
W,01/02/2023 03:15:00 PM,586
E,01/02/2023 03:15:00 PM,472
W,01/02/2023 03:30:00 PM,608
E,01/02/2023 03:30:00 PM,555
W,01/02/2023 03:45:00 PM,607
E,01/02/2023 03:45:00 PM,517
W,01/02/2023 04:00:00 PM,615
E,01/02/2023 04:00:00 PM,497
